Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Plan Sin Aval;Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;GMND2201-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;Estudio;;;292000.00;66000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122904;S;24.00;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/estudio/guillermo-mann/3632?selectedUnit=524254&codigo_referido=elkisd;2201-B;Lista para arrendar
Arriendo Normal;GMND2202-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;386000.00;82000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122905;S;33.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524255&codigo_referido=elkisd;2202-B;Lista para arrendar
Arriendo Normal;GMND2203-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;388000.00;81000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122906;S;32.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524256&codigo_referido=elkisd;2203-B;Lista para arrendar
Arriendo Normal;GMND2204-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;2D2B;;;529000.00;118000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122907;S;54.00;4.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/2-dormitorios/guillermo-mann/3632?selectedUnit=524257&codigo_referido=elkisd;2204-B;Lista para arrendar
Arriendo Normal;GMND2205-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;2D2B;;;527000.00;119000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122908;N;54.00;4.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/2-dormitorios/guillermo-mann/3632?selectedUnit=524258&codigo_referido=elkisd;2205-B;Lista para arrendar
Arriendo Normal;GMND2206-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;386000.00;81000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122909;N;32.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524259&codigo_referido=elkisd;2206-B;Lista para arrendar
Arriendo Normal;GMND2207-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;388000.00;83000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122910;N;33.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524260&codigo_referido=elkisd;2207-B;Lista para arrendar
Arriendo Normal;GMND2208-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;388000.00;83000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122911;N;33.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524261&codigo_referido=elkisd;2208-B;Lista para arrendar
Arriendo Normal;GMND2209-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;388000.00;83000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122912;N;33.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524262&codigo_referido=elkisd;2209-B;Lista para arrendar
Arriendo Normal;GMND2210-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;1D1B;;;384000.00;82000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122913;N;32.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/1-dormitorio/guillermo-mann/3632?selectedUnit=524263&codigo_referido=elkisd;2210-B;Lista para arrendar
Arriendo Normal;GMND2211-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;2D2B;;;527000.00;119000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122914;P;54.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/2-dormitorios/guillermo-mann/3632?selectedUnit=524264&codigo_referido=elkisd;2211-B;Lista para arrendar
Arriendo Normal;GMND2212-B;Av. Vicuña Mackenna 2362;Ñuñoa;Guillermo Mann;1;30;2D2B;;;520000.00;110000.00;3;3;0.00;0;1;0;No;3;3.00;1;0;122915;P;50.00;3.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/nunoa/2-dormitorios/guillermo-mann/3632?selectedUnit=524265&codigo_referido=elkisd;2212-B;Lista para arrendar
